CustomerID,Segment,churn_prediction,marketing_action
346,Recent Low-Spenders,0,Upsell: Bundle Offer
347,At-Risk,1,Reactivation Email + Big Discount
348,Recent Low-Spenders,0,Upsell: Bundle Offer
349,At-Risk,1,Reactivation Email + Big Discount
350,At-Risk,1,Reactivation Email + Big Discount
351,Recent Low-Spenders,0,Upsell: Bundle Offer
352,Recent Low-Spenders,0,Upsell: Bundle Offer
353,Recent Low-Spenders,0,Upsell: Bundle Offer
354,At-Risk,1,Reactivation Email + Big Discount
355,At-Risk,1,Reactivation Email + Big Discount
356,Recent Low-Spenders,0,Upsell: Bundle Offer
357,At-Risk,1,Reactivation Email + Big Discount
358,Recent Low-Spenders,0,Upsell: Bundle Offer
359,Recent Low-Spenders,0,Upsell: Bundle Offer
360,Recent Low-Spenders,0,Upsell: Bundle Offer
361,Recent Low-Spenders,0,Upsell: Bundle Offer
362,Recent Low-Spenders,0,Upsell: Bundle Offer
363,Recent Low-Spenders,0,Upsell: Bundle Offer
364,Recent Low-Spenders,0,Upsell: Bundle Offer
365,Recent Low-Spenders,0,Upsell: Bundle Offer
366,At-Risk,1,Reactivation Email + Big Discount
367,Recent Low-Spenders,0,Upsell: Bundle Offer
368,Recent Low-Spenders,0,Upsell: Bundle Offer
369,At-Risk,1,Reactivation Email + Big Discount
370,Recent Low-Spenders,0,Upsell: Bundle Offer
371,Recent Low-Spenders,0,Upsell: Bundle Offer
372,At-Risk,1,Reactivation Email + Big Discount
373,Recent Low-Spenders,0,Upsell: Bundle Offer
374,At-Risk,1,Reactivation Email + Big Discount
375,Recent Low-Spenders,0,Upsell: Bundle Offer
376,At-Risk,1,Reactivation Email + Big Discount
377,Recent Low-Spenders,0,Upsell: Bundle Offer
378,Recent Low-Spenders,0,Upsell: Bundle Offer
379,Recent Low-Spenders,0,Upsell: Bundle Offer
380,Loyal Customers,0,Loyalty Bonus + Referral Code
381,At-Risk,1,Reactivation Email + Big Discount
382,At-Risk,1,Reactivation Email + Big Discount
383,Recent Low-Spenders,0,Upsell: Bundle Offer
384,Recent Low-Spenders,0,Upsell: Bundle Offer
385,Recent Low-Spenders,0,Upsell: Bundle Offer
386,Recent Low-Spenders,0,Upsell: Bundle Offer
387,At-Risk,1,Reactivation Email + Big Discount
388,Recent Low-Spenders,0,Upsell: Bundle Offer
389,At-Risk,1,Reactivation Email + Big Discount
390,Recent Low-Spenders,0,Upsell: Bundle Offer
391,At-Risk,1,Reactivation Email + Big Discount
392,Recent Low-Spenders,0,Upsell: Bundle Offer
393,Recent Low-Spenders,0,Upsell: Bundle Offer
394,Recent Low-Spenders,0,Upsell: Bundle Offer
395,At-Risk,1,Reactivation Email + Big Discount
396,Recent Low-Spenders,0,Upsell: Bundle Offer
397,At-Risk,1,Reactivation Email + Big Discount
398,Recent Low-Spenders,0,Upsell: Bundle Offer
399,Recent Low-Spenders,0,Upsell: Bundle Offer
400,Recent Low-Spenders,0,Upsell: Bundle Offer
401,Recent Low-Spenders,0,Upsell: Bundle Offer
402,Recent Low-Spenders,0,Upsell: Bundle Offer
403,Recent Low-Spenders,0,Upsell: Bundle Offer
404,Recent Low-Spenders,0,Upsell: Bundle Offer
405,At-Risk,1,Reactivation Email + Big Discount
406,At-Risk,1,Reactivation Email + Big Discount
407,Recent Low-Spenders,0,Upsell: Bundle Offer
408,At-Risk,1,Reactivation Email + Big Discount
409,Recent Low-Spenders,0,Upsell: Bundle Offer
410,Recent Low-Spenders,0,Upsell: Bundle Offer
411,At-Risk,1,Reactivation Email + Big Discount
412,Recent Low-Spenders,0,Upsell: Bundle Offer
413,Recent Low-Spenders,0,Upsell: Bundle Offer
